row_hash,status,confidence,n_items,calories,timestamp
ce21d69abac4,ok,high,3,549,2026-02-18T15:55:22.587774
575efca7a4ce,ok,high,3,616,2026-02-18T15:55:27.605889
b6b5d0bcd4c7,ok,high,5,588,2026-02-18T15:55:35.166569
140c5362f5af,ok,high,3,1406,2026-02-18T15:55:41.033277
d7eb37d9bd08,ok,high,6,540,2026-02-18T15:55:48.805104
25d3f1683c54,ok,high,3,778,2026-02-18T15:55:54.092082
e5e016881d45,ok,high,2,230,2026-02-18T15:55:57.979754
84d77afe019d,ok,high,3,630,2026-02-18T15:56:03.665533
c98984cb4762,ok,high,3,457,2026-02-18T15:56:14.527687
69ebd9784525,ok,high,3,470,2026-02-18T15:56:19.932427
f30bd4708560,ok,high,3,613,2026-02-18T15:56:25.468752
0e50fcf5adc4,ok,high,3,428,2026-02-18T15:56:30.711663
2cd4d9266e65,ok,high,4,563,2026-02-18T15:56:37.856529
19bb536f167a,ok,high,3,262,2026-02-18T15:56:43.316122
95ad2f38c7cc,ok,high,3,590,2026-02-18T15:56:48.458762
e3a1f5136baf,ok,high,5,1792,2026-02-18T15:56:55.174575
19185b8b5fa2,ok,high,2,230,2026-02-18T15:56:59.416594
47133058599c,ok,high,5,382,2026-02-18T15:57:07.868784
6ece360f95fd,ok,high,2,394,2026-02-18T15:57:12.367797
cc6f88ea31c3,ok,high,1,384,2026-02-18T15:57:16.137438
0e09a055e11c,ok,high,4,592,2026-02-18T15:57:23.060728
2dc56e0be825,ok,high,2,185,2026-02-18T15:57:27.619707
34b61e9f269c,ok,high,4,503,2026-02-18T15:57:34.591701
48bf9ecb1708,ok,high,5,670,2026-02-18T15:57:41.962092
2139790eebbc,ok,high,5,556,2026-02-18T15:57:49.334338
027c06015d9f,ok,high,1,10,2026-02-18T15:57:53.001903
c14d3c4835a7,ok,high,3,228,2026-02-18T15:57:58.649358
65cc7b8d90aa,ok,high,3,556,2026-02-18T15:58:05.529230
83848938bada,ok,high,2,470,2026-02-18T15:58:09.425779
2ac24d0dc04c,ok,high,5,789,2026-02-18T15:58:20.367224
ecb0bedc9f5d,ok,high,3,841,2026-02-18T15:58:25.787310
d48c3c98efee,ok,high,3,780,2026-02-18T15:58:31.553203
18cd536e6e07,ok,high,3,1496,2026-02-18T15:58:37.113920
0041485e15fd,ok,high,2,301,2026-02-18T15:58:41.432027
0c4fdaa3a8db,ok,high,3,465,2026-02-18T15:58:46.883285
410daea8a506,ok,high,4,181,2026-02-18T15:58:53.950850
a5280ebd4181,ok,high,7,694,2026-02-18T15:59:04.365310
fb6e52ebec75,ok,high,6,709,2026-02-18T15:59:14.309155
b1ab9fa2c965,ok,high,4,1388,2026-02-18T15:59:20.775600
2e86fce4203a,ok,high,2,160,2026-02-18T15:59:24.737052
0af50834f56e,ok,high,4,534,2026-02-18T15:59:36.652469
a64548951316,ok,high,3,731,2026-02-18T15:59:42.038580
cfca03884619,ok,high,5,1326,2026-02-18T15:59:50.078592
377f0625e6de,ok,medium,2,470,2026-02-18T15:59:54.053863
ffae1f7233ea,ok,high,9,989,2026-02-18T16:00:07.071552
23dea9cbb976,ok,high,1,105,2026-02-18T16:00:10.375555
e2041421dcc2,ok,high,5,811,2026-02-18T16:00:18.237543
9bea0caf4ab1,ok,high,4,587,2026-02-18T16:00:25.338002
73de0b7132ec,ok,high,3,893,2026-02-18T16:00:30.381549
30553a532c04,ok,high,3,585,2026-02-18T16:00:35.461065
c002719cbc81,ok,high,3,680,2026-02-18T16:00:40.957493
ddede4b13da1,ok,high,6,640,2026-02-18T16:00:49.659367
f6da287e9645,ok,high,2,210,2026-02-18T16:00:54.008393
d5c646483045,ok,high,2,423,2026-02-18T16:00:58.155204
4069218a7bc8,ok,high,2,152,2026-02-18T16:01:02.510207
0b0f540bebd1,ok,high,2,480,2026-02-18T16:01:07.244566
b81039b4a95e,ok,high,4,960,2026-02-18T16:01:14.241105
b54dd0c4c31e,ok,high,6,442,2026-02-18T16:01:22.225321
e099d6bfab3a,ok,low,2,0,2026-02-18T16:01:26.704531
512247d46b8a,ok,high,2,302,2026-02-18T16:01:30.765109
642eb0e427c7,ok,high,2,302,2026-02-18T16:01:35.276085
14878ce89d2c,ok,high,3,580,2026-02-18T16:01:41.119884
a34af8f1aa9e,ok,high,2,510,2026-02-18T16:01:45.467666
88c95862e98e,ok,high,2,351,2026-02-18T16:01:49.575319
c78a8bbc5c1e,ok,high,4,368,2026-02-18T16:01:56.359238
163ca137b8e9,ok,high,3,350,2026-02-18T16:02:02.938269
8000c4e78c4a,ok,high,8,807,2026-02-18T16:02:15.253885
ec7ec2485f9c,ok,high,2,436,2026-02-18T16:02:19.247334
1d403dcd53e0,ok,high,2,296,2026-02-18T16:02:23.430578
e29ea58801b1,ok,high,2,296,2026-02-18T16:02:27.824296
c1d13f1dddb2,ok,high,3,405,2026-02-18T16:02:32.978979
9a6fe631455f,ok,high,4,693,2026-02-18T16:02:39.592665
8c8c4f6aaf1c,ok,high,3,572,2026-02-18T16:02:44.639834
6ac10e76fa4d,ok,high,5,956,2026-02-18T16:02:53.557159
e659c003e98d,ok,high,5,898,2026-02-18T16:03:00.753101
c246456a1b7f,ok,high,4,565,2026-02-18T16:03:07.139350
360436a6ea21,ok,high,3,85,2026-02-18T16:03:12.704037
87ea93d8c99a,ok,high,2,420,2026-02-18T16:03:17.276865
3a3fc75c7ff2,ok,high,4,693,2026-02-18T16:03:23.502035
d32a063daf2c,ok,high,6,378,2026-02-18T16:03:32.651807
bddd82ba2f0e,ok,high,6,846,2026-02-18T16:03:40.571145
92839ad61f13,ok,high,4,662,2026-02-18T16:03:46.679640
79191d4ef3d7,ok,high,1,90,2026-02-18T16:03:49.909195
9a0fb23985b6,ok,high,5,870,2026-02-18T16:03:57.507155
3d1e1b0bdbd0,ok,high,2,455,2026-02-18T16:04:01.266014
48c5f8987b1c,ok,high,5,411,2026-02-18T16:04:11.806656
1976979b940b,ok,high,5,538,2026-02-18T16:04:20.060736
c0b1d59e2b8a,ok,high,4,973,2026-02-18T16:04:26.416804
0bf8c08633df,ok,high,5,598,2026-02-18T16:04:34.519621
fcfbe4fbba27,ok,high,2,1536,2026-02-18T16:04:39.220246
2d2ee364337a,ok,high,2,435,2026-02-18T16:04:44.053211
8adc63d02efc,ok,high,3,600,2026-02-18T16:04:49.484680
335220ac22e3,ok,high,2,346,2026-02-18T16:04:53.784760
dfdfdf7fb359,ok,high,3,410,2026-02-18T16:04:58.947001
830d6d73cc00,ok,high,3,522,2026-02-18T16:05:03.928939
6612746e4174,ok,high,2,264,2026-02-18T16:05:08.299070
50ecf0a3f910,ok,high,4,600,2026-02-18T16:05:15.703330
84d839cde151,ok,high,2,245,2026-02-18T16:05:20.219630
f87f92dce2f2,ok,high,2,264,2026-02-18T16:05:24.280311
84311f89e60b,ok,high,3,691,2026-02-18T16:05:29.993167
887db2af4f18,ok,high,8,613,2026-02-18T16:05:40.919044
7d30b35a21e2,ok,high,6,579,2026-02-18T16:05:50.233926
6c34a8211c3d,ok,high,2,421,2026-02-18T16:05:54.819906
7a4d5b3774d0,ok,high,1,273,2026-02-18T16:05:57.626998
2ef205acee82,ok,high,7,573,2026-02-18T16:06:08.994077
80a20512e7ee,ok,high,3,432,2026-02-18T16:06:14.704600
4265c3e5eed1,ok,high,2,424,2026-02-18T16:06:19.390825
a5a802134c98,ok,high,2,562,2026-02-18T16:06:24.170769
1c9b639ad475,ok,high,5,790,2026-02-18T16:06:31.678708
8edaaf44f694,ok,high,3,1532,2026-02-18T16:06:37.113453
b56af6eee0af,ok,high,6,868,2026-02-18T16:06:46.339844
c30d719df3d1,ok,high,3,520,2026-02-18T16:06:50.876710
462bb50a8943,ok,high,3,460,2026-02-18T16:06:56.040659
411dee36b005,ok,high,3,780,2026-02-18T16:07:01.610552
457edb6d9f29,ok,high,3,920,2026-02-18T16:07:07.985188
174a848de51a,ok,high,3,830,2026-02-18T16:07:12.992484
f18813a916eb,ok,high,2,230,2026-02-18T16:07:17.041009
dca451368dff,ok,high,5,486,2026-02-18T16:07:24.521461
17d29fc9a596,ok,high,5,539,2026-02-18T16:07:31.904382
77cb2925b2d7,ok,high,3,590,2026-02-18T16:07:38.240017
2b8e2ea2f65d,ok,high,5,559,2026-02-18T16:07:45.420900
bcfb222ce316,ok,high,5,417,2026-02-18T16:07:53.706411
04f4fced0443,ok,high,3,1060,2026-02-18T16:07:58.930764
a84fecfd4127,ok,high,6,366,2026-02-18T16:08:08.427710
f76d88d70e69,ok,high,2,486,2026-02-18T16:08:13.089969
2713273677e0,ok,high,4,829,2026-02-18T16:08:20.436228
ab348212e3d7,ok,high,4,829,2026-02-18T16:08:26.879430
908370f583e9,ok,high,6,1295,2026-02-18T16:08:37.027085
153553470918,ok,high,2,527,2026-02-18T16:08:41.124565
398f167c9e2d,ok,high,4,951,2026-02-18T16:08:48.283609
4bf88f821662,ok,high,3,700,2026-02-18T16:08:53.934604
5b0930d06059,ok,high,4,971,2026-02-18T16:09:00.451987
1be384e9c5a9,ok,high,3,840,2026-02-18T16:09:05.894693
f223c5f69419,ok,high,3,720,2026-02-18T16:09:11.842485
611bfa63d9d5,ok,high,3,770,2026-02-18T16:09:16.896842
f8372b152ea9,ok,high,3,722,2026-02-18T16:09:21.985058
c56b7f9a2064,ok,high,3,702,2026-02-18T16:09:27.294996
c85ebb07cf87,ok,high,6,1060,2026-02-18T16:09:37.245224
8df949f187f5,ok,high,3,276,2026-02-18T16:09:42.255924
3687cba645f1,ok,high,3,872,2026-02-18T16:09:47.887187
687f9ba16c90,ok,high,4,974,2026-02-18T16:09:54.740316
1cf30db2e938,ok,high,3,19,2026-02-18T16:10:00.392568
c4da9bb78d53,ok,high,1,150,2026-02-18T16:10:04.168922
91801e659ace,ok,high,3,722,2026-02-18T16:10:09.694455
d76de5be9a6e,ok,high,4,431,2026-02-18T16:10:16.249320
7aeb6e0c7dfd,ok,high,2,381,2026-02-18T16:10:20.701657
650dc7918e31,ok,high,2,332,2026-02-18T16:10:25.151919
9faabc1d8f7d,ok,high,4,464,2026-02-18T16:10:31.709764
7f5f4b124853,ok,high,3,607,2026-02-18T16:10:37.504642
c856444a3efa,ok,high,7,765,2026-02-18T16:10:47.559330
afda3e51c55e,ok,high,7,1485,2026-02-18T16:10:58.537682
7ef9c0d2af22,ok,high,4,535,2026-02-18T16:11:05.275889
614d50953406,json_error,,0,0,2026-02-18T16:11:16.039737
2595f92396d8,ok,high,2,286,2026-02-18T16:11:20.451429
885f91f3f11e,ok,high,2,780,2026-02-18T16:11:24.365899
3068802853e5,ok,high,2,780,2026-02-18T16:11:28.851080
feeb78a14290,ok,high,4,576,2026-02-18T16:11:35.813068
ad0e6e6ae4f8,ok,high,4,660,2026-02-18T16:11:41.955915
da3af91a17f8,ok,high,2,780,2026-02-18T16:11:45.946035
275c95284135,ok,high,2,852,2026-02-18T16:11:50.361575
7495f199ad92,ok,high,4,647,2026-02-18T16:11:57.293077
924d24ca2030,ok,high,4,530,2026-02-18T16:12:05.201220
141aacc7628b,ok,high,2,590,2026-02-18T16:12:09.806545
672d9cbf7537,ok,high,2,350,2026-02-18T16:12:14.114773
e50077548b1c,ok,high,4,726,2026-02-18T16:12:20.256589
63d999a35d3d,ok,high,4,710,2026-02-18T16:12:26.709177
37375318e1e8,ok,high,2,51,2026-02-18T16:12:31.004265
d0949e6750fd,ok,high,2,260,2026-02-18T16:12:34.793323
22c4fdee6564,ok,high,3,510,2026-02-18T16:12:40.237318
1a1b949ffa9b,ok,high,3,762,2026-02-18T16:12:45.854020
ef12ca5a0aa6,ok,high,3,548,2026-02-18T16:12:51.795654
2aa7177fa15b,ok,high,3,1100,2026-02-18T16:12:56.963812
04c4b8bff5b2,ok,high,3,1110,2026-02-18T16:13:02.655340
2e2c4cd1cb2d,ok,medium,4,789,2026-02-18T16:13:10.950959
b99d4c69aedf,ok,high,5,1470,2026-02-18T16:13:19.444662
6bfa84b5c0cb,ok,high,3,1100,2026-02-18T16:13:24.414333
46ca4a2f90e6,ok,high,5,719,2026-02-18T16:13:32.330781
f7b4ad6a77e8,ok,high,2,1380,2026-02-18T16:13:36.643500
64f9599b9c69,ok,high,3,586,2026-02-18T16:13:42.999613
2638f80cb115,ok,high,3,426,2026-02-18T16:13:48.420384
52b31b6fc513,ok,high,3,595,2026-02-18T16:13:53.623749
869f9970b5a3,ok,high,5,1610,2026-02-18T16:14:01.132662
5ffb89362867,ok,high,8,1118,2026-02-18T16:14:17.541218
43d8c5ade72f,ok,high,4,1102,2026-02-18T16:14:23.861979
e996f1659d15,ok,high,3,422,2026-02-18T16:14:29.074921
e1351821df28,ok,high,2,81,2026-02-18T16:14:33.579348
8c1b0d893c3f,ok,high,2,137,2026-02-18T16:14:37.675211
666ed5f7f5a9,ok,high,2,780,2026-02-18T16:14:42.488492
88b7e83a6ac6,ok,high,9,1159,2026-02-18T16:14:54.469464
cedfb3c9dda7,ok,high,4,1760,2026-02-18T16:15:01.132427
671bfa515288,ok,high,2,485,2026-02-18T16:15:05.244572
903a7e52363f,ok,high,5,1256,2026-02-18T16:15:12.911753
925511f7d52a,ok,high,5,887,2026-02-18T16:15:19.965168
492336eaacfd,ok,high,3,464,2026-02-18T16:15:25.343852
afb712eeac0e,ok,high,3,426,2026-02-18T16:15:30.341809
f453c83e3625,ok,high,2,137,2026-02-18T16:15:34.715016
770d29d6287d,ok,high,3,1028,2026-02-18T16:15:40.241705
6f8c120d9b2f,ok,high,4,785,2026-02-18T16:15:47.144285
6e71e5b71ee9,ok,high,3,655,2026-02-18T16:15:52.633372
e8e8a76df6f0,ok,high,4,490,2026-02-18T16:15:59.403949
bbfc691d70f9,json_error,,0,0,2026-02-18T16:16:24.487690
7057d7f0db4e,json_error,,0,0,2026-02-18T16:16:38.307448
fc1106bd1d69,ok,high,4,510,2026-02-18T16:16:44.166095
5f1bc925ec6a,ok,high,4,991,2026-02-18T16:16:51.217690
2c6abd5fdcc9,ok,high,3,554,2026-02-18T16:16:56.944232
e2d4f6f3b889,ok,high,2,891,2026-02-18T16:17:01.161768
ae91c5d035be,ok,high,3,410,2026-02-18T16:17:05.887444
837c1cd1b1d2,ok,high,6,1070,2026-02-18T16:17:15.972785
7214de2007c4,ok,high,5,990,2026-02-18T16:17:23.215604
34c0be7db76c,ok,high,4,676,2026-02-18T16:17:29.825217
c31f22e173ae,ok,high,4,708,2026-02-18T16:17:36.268313
90ba54075ae1,ok,high,4,676,2026-02-18T16:17:43.371878
25fcb8cdb078,ok,high,5,610,2026-02-18T16:17:51.254214
535a33ddec2a,ok,high,4,1032,2026-02-18T16:17:57.204033
f8a41fd42b71,ok,high,2,191,2026-02-18T16:18:07.778085
fac21fffd3e3,ok,high,3,700,2026-02-18T16:18:13.126141
a82ea43b6b51,ok,high,4,350,2026-02-18T16:18:20.194084
5b2049754e45,ok,high,4,924,2026-02-18T16:18:26.850661
4992a5156e9d,json_error,,0,0,2026-02-18T16:18:41.703337
0e8bbbb08d45,ok,high,8,738,2026-02-18T16:18:53.578495
2efae9efdc2f,ok,high,4,923,2026-02-18T16:19:00.542572
db1e8045e12f,ok,high,8,733,2026-02-18T16:19:11.304985
1ed10bda15c1,ok,high,2,430,2026-02-18T16:19:15.097460
a6da83b84cf8,ok,high,4,1012,2026-02-18T16:19:21.429470
b1feefbdd12d,ok,high,4,1012,2026-02-18T16:19:27.989516
8f4303ad89c4,ok,high,3,770,2026-02-18T16:19:33.515117
ead8f4569f92,ok,high,10,751,2026-02-18T16:19:48.531369
9e2cbf44410b,ok,high,6,998,2026-02-18T16:19:58.289919
f3e686cb8e9b,ok,high,4,694,2026-02-18T16:20:04.489703
c4b90232fc25,ok,high,3,597,2026-02-18T16:20:10.174536
f1715aca3b24,ok,high,4,780,2026-02-18T16:20:17.032801
488b8fedc417,ok,high,7,417,2026-02-18T16:20:28.381064
23e695c31be7,ok,high,5,1020,2026-02-18T16:20:36.528475
1b193f5280ce,ok,high,1,272,2026-02-18T16:20:39.928311
8a252f9c4ed0,ok,high,3,604,2026-02-18T16:20:45.817877
db566f849e38,ok,high,3,357,2026-02-18T16:20:51.537696
5610350d4500,ok,high,3,752,2026-02-18T16:20:56.714343
e39d45e6e774,ok,high,6,970,2026-02-18T16:21:05.131120
2aa19276f403,ok,high,3,392,2026-02-18T16:21:11.339471
4c60916df028,ok,high,4,716,2026-02-18T16:21:17.521998
89877922cc99,ok,high,3,812,2026-02-18T16:21:23.645478
d895c34d2b4a,ok,high,4,554,2026-02-18T16:21:30.322655
4d1e4118d510,ok,high,5,628,2026-02-18T16:21:38.160883
b8729aa4e696,ok,high,3,607,2026-02-18T16:21:43.724082
5d38090fa99b,ok,medium,1,180,2026-02-18T16:21:46.993988
141e1d9ecac0,ok,high,2,397,2026-02-18T16:21:51.152124
51e15f13bb01,ok,high,3,791,2026-02-18T16:21:56.339689
c78f23a88ec2,ok,high,4,1231,2026-02-18T16:22:03.289620
60c4ad0bd47e,ok,high,3,1100,2026-02-18T16:22:08.545324
8592af547ef7,ok,high,3,1004,2026-02-18T16:22:14.540079
c4f8dec94983,ok,high,2,800,2026-02-18T16:22:19.309831
d29640a5ba05,ok,high,1,160,2026-02-18T16:22:22.095641
4769cefb3e09,ok,high,2,438,2026-02-18T16:22:28.058665
357fb6b45c17,ok,high,2,414,2026-02-18T16:22:32.643510
3f4c2b9bded1,ok,high,2,356,2026-02-18T16:22:36.719601
27ceea5cf0bf,ok,high,3,550,2026-02-18T16:22:42.861242
3b77ace3ff7d,ok,high,3,711,2026-02-18T16:22:48.468567
133f714a473d,ok,high,3,447,2026-02-18T16:22:54.011391
e481aabfa1e8,ok,high,5,844,2026-02-18T16:23:01.407707
f8a3bb6afc24,ok,high,5,1135,2026-02-18T16:23:09.058972
e1dc4f980668,ok,high,5,990,2026-02-18T16:23:16.550478
d9699d20be1c,ok,high,4,1092,2026-02-18T16:23:22.939571
aeb34782fadc,ok,high,2,732,2026-02-18T16:23:27.576895
1b20e02dd8c4,ok,high,5,939,2026-02-18T16:23:35.327292
44b3e8be6299,ok,high,1,190,2026-02-18T16:23:38.463293
6baf08b562f1,ok,high,5,428,2026-02-18T16:23:46.113995
c8378e4d8a14,ok,high,3,932,2026-02-18T16:23:51.212691
c85e1ebbd0ea,ok,high,2,390,2026-02-18T16:23:55.510647
3ddda1164547,json_error,,0,0,2026-02-18T16:24:08.353162
630861825510,ok,high,9,1078,2026-02-18T16:24:21.734717
41cb2ce4b011,ok,high,3,802,2026-02-18T16:24:26.925835
a7193c4bb635,ok,high,2,558,2026-02-18T16:24:33.000999
5871f62d4785,ok,high,3,711,2026-02-18T16:24:38.774325
f099e7e2e55f,ok,high,3,331,2026-02-18T16:24:44.144493
76980662257b,ok,high,3,910,2026-02-18T16:24:49.772973
5ba704a230c2,ok,high,3,540,2026-02-18T16:24:55.307266
3beee024a8ea,ok,high,5,310,2026-02-18T16:25:02.359902
7254725cb6db,ok,high,6,651,2026-02-18T16:25:10.530257
fe07bf2267cf,ok,high,2,450,2026-02-18T16:25:15.635518
0fd611777d12,ok,medium,4,844,2026-02-18T16:25:21.714446
fb56bd8ab353,ok,medium,4,702,2026-02-18T16:25:33.342089
b246c03742c5,ok,high,3,423,2026-02-18T16:25:38.780016
fdb84e4fd06c,ok,high,3,442,2026-02-18T16:25:43.763942
6764bce3d5fe,ok,high,5,1020,2026-02-18T16:25:51.381925
472ef62ad89a,ok,high,5,1384,2026-02-18T16:25:59.585209
e5b445b3eceb,ok,high,5,443,2026-02-18T16:26:06.839000
82b6d14ca93d,ok,high,5,1040,2026-02-18T16:26:14.881550
014354bfabe0,ok,high,2,390,2026-02-18T16:26:18.816243
100b742526e9,ok,high,3,544,2026-02-18T16:26:24.350116
c260c94824d8,ok,high,3,740,2026-02-18T16:26:29.372060
9c015c7fb85f,ok,high,3,380,2026-02-18T16:26:35.250235
b45e3ef82952,ok,high,2,308,2026-02-18T16:26:39.911154
67db2e8f6db4,ok,high,3,780,2026-02-18T16:26:45.135960
3ea7d2809454,ok,high,4,1660,2026-02-18T16:26:52.153441
c3529851d68f,ok,high,6,784,2026-02-18T16:27:00.506297
d123e76d63c0,ok,high,3,480,2026-02-18T16:27:06.353561
0927f7d9e9be,ok,high,4,1407,2026-02-18T16:27:13.714269
04183ff08237,ok,high,4,1660,2026-02-18T16:27:20.776553
59d2f96052ec,ok,high,4,719,2026-02-18T16:27:27.762881
fa94ef67da1a,ok,high,4,719,2026-02-18T16:27:33.879577
8d5adfa36829,ok,high,4,650,2026-02-18T16:27:40.743922
5531f2202da2,ok,high,3,576,2026-02-18T16:27:46.038433
b10c985280b6,ok,high,2,446,2026-02-18T16:27:49.944681
4828ea6f372b,ok,high,3,712,2026-02-18T16:27:55.386196
3d13f0579bcc,ok,high,5,1487,2026-02-18T16:28:04.303137
f3bb147b95ed,ok,high,6,1612,2026-02-18T16:28:13.721128
0e371ff72955,ok,high,4,719,2026-02-18T16:28:20.786831
42dbc75c1ed3,ok,high,2,356,2026-02-18T16:28:24.956772
419273e10efb,ok,high,3,855,2026-02-18T16:28:30.314545
f46e2753829e,ok,high,2,597,2026-02-18T16:28:34.854503
6f102546ec83,ok,high,3,825,2026-02-18T16:28:40.458708
18b1f9b3b039,ok,high,3,757,2026-02-18T16:28:45.506690
b3aba3d32224,ok,high,3,261,2026-02-18T16:28:50.793876
5971ca25c791,ok,high,4,1084,2026-02-18T16:28:57.460867
251847112b8b,ok,high,2,510,2026-02-18T16:29:01.439009
e0cc54fde672,ok,high,2,145,2026-02-18T16:29:05.882757
f7c599016fc3,ok,high,3,882,2026-02-18T16:29:11.628474
43e4c8be36fb,ok,high,2,200,2026-02-18T16:29:16.008174
5c5942f4e73d,ok,high,2,470,2026-02-18T16:29:21.277140
c33dc04396cb,ok,high,5,1512,2026-02-18T16:29:29.702699
653ff33b8691,ok,high,5,1677,2026-02-18T16:29:37.277357
77b246b14870,ok,high,3,635,2026-02-18T16:29:42.094011
b26a4c7fc92e,ok,high,4,1452,2026-02-18T16:29:48.368662
5fc3be2c228b,ok,high,5,1595,2026-02-18T16:29:56.022611
e6129e943fc7,ok,high,3,575,2026-02-18T16:30:01.772036
4ed208aba536,ok,high,5,313,2026-02-18T16:30:10.357442
986ace4f9425,ok,high,2,1560,2026-02-18T16:30:14.958649
4d8a17eefd5e,ok,high,3,542,2026-02-18T16:30:20.049285
8682bab76cbd,ok,high,3,1011,2026-02-18T16:30:25.206813
8936a27c1b0e,ok,high,5,555,2026-02-18T16:30:32.280215
45ce9f4ba2a1,ok,high,3,397,2026-02-18T16:30:38.062495
93140125b192,ok,high,4,1116,2026-02-18T16:30:44.565902
0e42044d15b7,ok,high,4,1156,2026-02-18T16:30:51.931639
8f27b28c32bd,ok,high,8,1182,2026-02-18T16:31:03.296693
ed1460b3698a,ok,high,7,1114,2026-02-18T16:31:14.290753
053ac318d310,ok,high,3,1230,2026-02-18T16:31:19.668896
e3a423ad61a3,ok,high,4,705,2026-02-18T16:31:26.316983
7bd0f02c38b8,ok,high,2,54,2026-02-18T16:31:31.965566
42ed200faf4b,ok,high,3,638,2026-02-18T16:31:37.382116
f06f14809061,ok,high,6,1082,2026-02-18T16:31:46.422049
23a4a824f527,json_error,,0,0,2026-02-18T16:32:00.035812
6bac28d1df12,ok,high,2,660,2026-02-18T16:32:04.558431
6e22b768fa3c,ok,high,2,550,2026-02-18T16:32:08.934045
a8cb5cc15037,json_error,,0,0,2026-02-18T16:32:23.230015
5f3aeff1d5b0,ok,high,5,919,2026-02-18T16:32:31.776053
ff6a2696b328,ok,high,3,600,2026-02-18T16:32:36.809359
177a303d0e4f,ok,high,5,1038,2026-02-18T16:32:44.568309
3cb32f743f1c,ok,high,3,856,2026-02-18T16:32:49.896043
cbb1ea6d969d,ok,high,3,470,2026-02-18T16:32:55.218843
9d51ac8841aa,ok,high,8,862,2026-02-18T16:33:06.290223
41faf6740876,ok,high,3,757,2026-02-18T16:33:11.857827
d696eeebfde5,ok,high,6,799,2026-02-18T16:33:20.514904
ba3e414784bd,ok,high,3,712,2026-02-18T16:33:25.149933
859e2aa1fcb7,ok,high,3,560,2026-02-18T16:33:29.935860
ba78f2d01202,ok,high,7,1263,2026-02-18T16:33:39.869477
d8d5558df3a4,ok,high,5,568,2026-02-18T16:33:47.037890
f46aba88c11c,ok,high,7,1205,2026-02-18T16:33:57.605828
8c97d7f1e4e6,ok,high,9,789,2026-02-18T16:34:09.057898
4e52227dfd86,ok,high,7,1205,2026-02-18T16:34:18.584446
