row_idx,date,original_text,n_items,n_matched,n_unmatched,matches
10,2016-06-30,2 cups of white rice + 1 cup steamed vegetables + grilled salmon (whole food deli) + 3 cups of sweetened (dragon) green tea 2 cups of white rice + 1 cup steamed vegetables + grilled salmon (whole food deli) + 3 cups of sweetened (dragon) green tea,9,9,0,"[{""item"": ""white rice"", ""usda_match"": ""Rice, white, long-grain, regular, cooked, enriched, with salt"", ""score"": 0.784, ""portion_g"": 200}, {""item"": ""steamed vegetables"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.663, ""portion_g"": 240}, {""item"": ""grilled salmon"", ""usda_match"": ""Fish, salmon, Atlantic, wild, cooked, dry heat"", ""score"": 0.627, ""portion_g"": 120}, {""item"": ""whole food deli"", ""usda_match"": ""Turkey, white, rotisserie, deli cut"", ""score"": 0.214, ""portion_g"": 150.0}, {""item"": ""sweetened (dragon) green tea 2 cups of white rice"", ""usda_match"": ""Rice, white, long-grain, regular, cooked, enriched, with salt"", ""score"": 0.658, ""portion_g"": 480.0}, {""item"": ""steamed vegetables"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.663, ""portion_g"": 240}, {""item"": ""grilled salmon"", ""usda_match"": ""Fish, salmon, Atlantic, wild, cooked, dry heat"", ""score"": 0.627, ""portion_g"": 120}, {""item"": ""whole food deli"", ""usda_match"": ""Turkey, white, rotisserie, deli cut"", ""score"": 0.214, ""portion_g"": 150.0}, {""item"": ""sweetened (dragon) green tea"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.734, ""portion_g"": 240}]"
11,2016-07-01,3 slices of white shephard bread + 1.5 egg fried 2 teaspoon of butter + 1 cup black tea + 1/2 cup of whole milk + 1 cup of yoghurt 3 slices of white shephard bread + 1.5 egg fried 2 teaspoon of butter + 1 cup black tea + 1/2 cup of whole milk + 1 cup,9,9,0,"[{""item"": ""white shephard bread"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.782, ""portion_g"": 60}, {""item"": ""egg fried 2 teaspoon of butter"", ""usda_match"": ""Egg, whole, cooked, fried"", ""score"": 0.217, ""portion_g"": 10.0}, {""item"": ""black tea"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.774, ""portion_g"": 240}, {""item"": ""1/2 cup of whole milk"", ""usda_match"": ""Milk, whole, 3.25% milkfat, with added vitamin D"", ""score"": 0.473, ""portion_g"": 480.0}, {""item"": ""yoghurt 3 slices of white shephard bread"", ""usda_match"": ""Yogurt, plain, whole milk"", ""score"": 0.86, ""portion_g"": 90.0}, {""item"": ""egg fried 2 teaspoon of butter"", ""usda_match"": ""Egg, whole, cooked, fried"", ""score"": 0.217, ""portion_g"": 10.0}, {""item"": ""black tea"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.774, ""portion_g"": 240}, {""item"": ""1/2 cup of whole milk"", ""usda_match"": ""Milk, whole, 3.25% milkfat, with added vitamin D"", ""score"": 0.473, ""portion_g"": 480.0}, {""item"": ""yoghurt"", ""usda_match"": ""Yogurt, plain, whole milk"", ""score"": 1.0, ""portion_g"": 170}]"
12,2016-07-02,1 bagel + onion + tomatoes 1 bagel + onion + tomatoes,5,5,0,"[{""item"": ""bagel"", ""usda_match"": ""Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)"", ""score"": 0.458, ""portion_g"": 100}, {""item"": ""onion"", ""usda_match"": ""Onions, raw"", ""score"": 1.0, ""portion_g"": 150.0}, {""item"": ""tomatoes 1 bagel"", ""usda_match"": ""Tomatoes, red, ripe, cooked"", ""score"": 0.613, ""portion_g"": 100}, {""item"": ""onion"", ""usda_match"": ""Onions, raw"", ""score"": 1.0, ""portion_g"": 150.0}, {""item"": ""tomatoes"", ""usda_match"": ""Tomatoes, red, ripe, cooked"", ""score"": 0.657, ""portion_g"": 150.0}]"
13,2016-07-02,half tuna salad sandwitch half tuna salad sandwitch,1,1,0,"[{""item"": ""half tuna salad sandwitch half tuna salad sandwitch"", ""usda_match"": ""Bread, wheat"", ""score"": 0.485, ""portion_g"": 150.0}]"
14,2016-07-03,1/2 cup cereal + 1 cup yoghurt + 1/2 slice of pancake 1/2 cup cereal + 1 cup yoghurt + 1/2 slice of pancake,5,5,0,"[{""item"": ""1/2 cup cereal"", ""usda_match"": ""Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk"", ""score"": 0.214, ""portion_g"": 480.0}, {""item"": ""yoghurt"", ""usda_match"": ""Yogurt, plain, whole milk"", ""score"": 1.0, ""portion_g"": 170}, {""item"": ""1/2 slice of pancake 1/2 cup cereal"", ""usda_match"": ""Syrups, table blends, pancake"", ""score"": 0.18, ""portion_g"": 480.0}, {""item"": ""yoghurt"", ""usda_match"": ""Yogurt, plain, whole milk"", ""score"": 1.0, ""portion_g"": 170}, {""item"": ""1/2 slice of pancake"", ""usda_match"": ""Syrups, table blends, pancake"", ""score"": 0.248, ""portion_g"": 60.0}]"
15,2016-07-03,1 bagel + 1/4 pound smoked salmon 1 bagel + 1/4 pound smoked salmon,3,3,0,"[{""item"": ""bagel"", ""usda_match"": ""Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)"", ""score"": 0.458, ""portion_g"": 100}, {""item"": ""1/4 pound smoked salmon 1 bagel"", ""usda_match"": ""Fish, salmon, Atlantic, wild, cooked, dry heat"", ""score"": 0.545, ""portion_g"": 120}, {""item"": ""1/4 pound smoked salmon"", ""usda_match"": ""Fish, salmon, Atlantic, wild, cooked, dry heat"", ""score"": 0.575, ""portion_g"": 120}]"
16,2016-07-03,1/6 lb salmon + 1 slice baquet + grilled potatoes 1/6 lb salmon + 1 slice baquet + grilled potatoes,3,3,0,"[{""item"": ""1/6 lb salmon"", ""usda_match"": ""Fish, salmon, Atlantic, wild, cooked, dry heat"", ""score"": 0.583, ""portion_g"": 120}, {""item"": ""grilled potatoes 1/6 lb salmon"", ""usda_match"": ""Potatoes, boiled, cooked without skin, flesh, without salt"", ""score"": 0.667, ""portion_g"": 150}, {""item"": ""grilled potatoes"", ""usda_match"": ""Potatoes, boiled, cooked without skin, flesh, without salt"", ""score"": 0.737, ""portion_g"": 150}]"
17,2016-07-05,"scrambled eggs, tea scrambled eggs, tea",3,3,0,"[{""item"": ""scrambled eggs"", ""usda_match"": ""Egg, whole, cooked, scrambled"", ""score"": 0.609, ""portion_g"": 100}, {""item"": ""tea scrambled eggs"", ""usda_match"": ""Egg, whole, cooked, scrambled"", ""score"": 0.552, ""portion_g"": 100}, {""item"": ""tea"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.774, ""portion_g"": 240}]"
18,2016-07-05,"tomatoe soup -panera, bread tomatoe soup -panera, bread",3,3,0,"[{""item"": ""tomatoe soup -panera"", ""usda_match"": ""Tomatoes, red, ripe, cooked"", ""score"": 0.794, ""portion_g"": 200}, {""item"": ""bread tomatoe soup -panera"", ""usda_match"": ""Tomatoes, red, ripe, cooked"", ""score"": 0.764, ""portion_g"": 60}, {""item"": ""bread"", ""usda_match"": ""Bread, wheat"", ""score"": 0.469, ""portion_g"": 60}]"
19,2016-07-05,grilled salmon + fried rice with vegetables grilled salmon + fried rice with vegetables,3,3,0,"[{""item"": ""grilled salmon"", ""usda_match"": ""Fish, salmon, Atlantic, wild, cooked, dry heat"", ""score"": 0.627, ""portion_g"": 120}, {""item"": ""fried rice with vegetables grilled salmon"", ""usda_match"": ""Fish, salmon, Atlantic, wild, cooked, dry heat"", ""score"": 0.502, ""portion_g"": 120}, {""item"": ""fried rice with vegetables"", ""usda_match"": ""Rice, white, long-grain, regular, cooked, enriched, with salt"", ""score"": 0.678, ""portion_g"": 200}]"
20,2016-07-10,1 cup yoghurt 1 cup yoghurt,1,1,0,"[{""item"": ""yoghurt 1 cup yoghurt"", ""usda_match"": ""Yogurt, plain, whole milk"", ""score"": 0.977, ""portion_g"": 240.0}]"
21,2016-07-10,"3 slices white bread (TJ), 2 eggs omellette, + 2 cups hot cococa 3 slices white bread (TJ), 2 eggs omellette, + 2 cups hot cococa",3,3,0,"[{""item"": ""white bread (TJ), 2 eggs omellette"", ""usda_match"": ""Bread, white, commercially prepared, toasted"", ""score"": 0.771, ""portion_g"": 60}, {""item"": ""hot cococa 3 slices white bread (TJ), 2 eggs omellette"", ""usda_match"": ""Bread, white, commercially prepared, toasted"", ""score"": 0.683, ""portion_g"": 90.0}, {""item"": ""hot cococa"", ""usda_match"": ""Peppers, hot pickled, canned"", ""score"": 0.277, ""portion_g"": 150.0}]"
22,2016-07-10,2 cups pop corn 2 cups pop corn,1,1,0,"[{""item"": ""pop corn 2 cups pop corn"", ""usda_match"": ""Frozen novelties, ice type, pop"", ""score"": 0.248, ""portion_g"": 480.0}]"
23,2016-07-10,1 banana 1 banana,1,1,0,"[{""item"": ""banana 1 banana"", ""usda_match"": ""Bananas, raw"", ""score"": 1.0, ""portion_g"": 150.0}]"
24,2016-07-10,left over rice + salmon left over rice + salmon,3,3,0,"[{""item"": ""left over rice"", ""usda_match"": ""Rice, white, long-grain, regular, cooked, enriched, with salt"", ""score"": 0.746, ""portion_g"": 200}, {""item"": ""salmon left over rice"", ""usda_match"": ""Fish, salmon, Atlantic, wild, cooked, dry heat"", ""score"": 0.577, ""portion_g"": 120}, {""item"": ""salmon"", ""usda_match"": ""Fish, salmon, Atlantic, wild, cooked, dry heat"", ""score"": 0.627, ""portion_g"": 120}]"
25,2016-07-10,2 cups of vannila ice cream 2 cups of vannila ice cream,1,1,0,"[{""item"": ""vannila ice cream 2 cups of vannila ice cream"", ""usda_match"": ""Ice cream sandwich"", ""score"": 0.537, ""portion_g"": 480.0}]"
26,2016-07-11,2 slices of white bread ; 1 scrabbled egg 2 slices of white bread ; 1 scrabbled egg,1,1,0,"[{""item"": ""white bread ; 1 scrabbled egg 2 slices of white bread ; 1 scrabbled egg"", ""usda_match"": ""Bread, white, commercially prepared, toasted"", ""score"": 0.773, ""portion_g"": 60.0}]"
27,2016-07-26,#NAME? #NAME?,1,0,1,"[{""item"": ""#NAME? #NAME?"", ""usda_match"": ""NO_MATCH"", ""score"": 0.0, ""portion_g"": 0}]"
28,2016-07-26,1 mango; 1/2 grapefruit 1 mango; 1/2 grapefruit,1,1,0,"[{""item"": ""mango; 1/2 grapefruit 1 mango; 1/2 grapefruit"", ""usda_match"": ""Mango nectar, canned"", ""score"": 0.254, ""portion_g"": 150.0}]"
29,2016-07-27,2 slices of white bread; 1 boiled egg; 1 teaspoon of butter + 1 cup of whole milk 2 slices of white bread; 1 boiled egg; 1 teaspoon of butter + 1 cup of whole milk,3,3,0,"[{""item"": ""white bread; 1 boiled egg; 1 teaspoon of butter"", ""usda_match"": ""Bread, white, commercially prepared, toasted"", ""score"": 0.741, ""portion_g"": 5.0}, {""item"": ""whole milk 2 slices of white bread; 1 boiled egg; 1 teaspoon of butter"", ""usda_match"": ""Bread, white, commercially prepared, toasted"", ""score"": 0.613, ""portion_g"": 5.0}, {""item"": ""whole milk"", ""usda_match"": ""Milk, whole, 3.25% milkfat, with added vitamin D"", ""score"": 0.536, ""portion_g"": 240}]"
30,2016-07-27,1 cup of white rice; 1/3 cup of beans ; 1/3 cup of mellon soup with chard; 3 oz of chicken 1 cup of white rice; 1/3 cup of beans ; 1/3 cup of mellon soup with chard; 3 oz of chicken,1,1,0,"[{""item"": ""white rice; 1/3 cup of beans ; 1/3 cup of mellon soup with chard; 3 oz of chicken 1 cup of white rice; 1/3 cup of beans ; 1/3 cup of mellon soup with chard; 3 oz of chicken"", ""usda_match"": ""Rice, white, long-grain, regular, cooked, enriched, with salt"", ""score"": 0.492, ""portion_g"": 720.0}]"
31,2016-07-27,1 mango; 1/2 grapefruit 1 mango; 1/2 grapefruit,1,1,0,"[{""item"": ""mango; 1/2 grapefruit 1 mango; 1/2 grapefruit"", ""usda_match"": ""Mango nectar, canned"", ""score"": 0.254, ""portion_g"": 150.0}]"
32,2016-07-27,1/2 cup of garri made into eba (2 cups of water) 1/2 cup of garri made into eba (2 cups of water),2,2,0,"[{""item"": ""1/2 cup of garri made into eba"", ""usda_match"": ""Cassava, raw"", ""score"": 0.286, ""portion_g"": 480.0}, {""item"": ""water) 1/2 cup of garri made into eba (2 cups of water"", ""usda_match"": ""Cassava, raw"", ""score"": 0.23, ""portion_g"": 480.0}]"
33,2016-12-16,Moi Moi + Bread Moi Moi + Bread,3,3,0,"[{""item"": ""Moi Moi"", ""usda_match"": ""Corn, white, steamed (Navajo)"", ""score"": 0.18, ""portion_g"": 150}, {""item"": ""Bread Moi Moi"", ""usda_match"": ""Bread, wheat"", ""score"": 0.193, ""portion_g"": 150}, {""item"": ""Bread"", ""usda_match"": ""Bread, wheat"", ""score"": 0.469, ""portion_g"": 60}]"
34,2016-12-16,White Rice + Stew + Chicken + Beef White Rice + Stew + Chicken + Beef,7,7,0,"[{""item"": ""White Rice"", ""usda_match"": ""Rice, white, long-grain, regular, cooked, enriched, with salt"", ""score"": 0.784, ""portion_g"": 200}, {""item"": ""Stew"", ""usda_match"": ""Onions, raw"", ""score"": 0.274, ""portion_g"": 150}, {""item"": ""Chicken"", ""usda_match"": ""Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"", ""score"": 0.39, ""portion_g"": 120}, {""item"": ""Beef White Rice"", ""usda_match"": ""Rice, white, long-grain, regular, cooked, enriched, with salt"", ""score"": 0.779, ""portion_g"": 200}, {""item"": ""Stew"", ""usda_match"": ""Onions, raw"", ""score"": 0.274, ""portion_g"": 150}, {""item"": ""Chicken"", ""usda_match"": ""Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"", ""score"": 0.39, ""portion_g"": 120}, {""item"": ""Beef"", ""usda_match"": ""Beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled"", ""score"": 0.565, ""portion_g"": 120}]"
35,2017-01-27,1/2 Cup of Milk + 1 cup of Cereal 1/2 Cup of Milk + 1 cup of Cereal,3,3,0,"[{""item"": ""1/2 Cup of Milk"", ""usda_match"": ""Milk, whole, 3.25% milkfat, with added vitamin D"", ""score"": 0.473, ""portion_g"": 480.0}, {""item"": ""Cereal 1/2 Cup of Milk"", ""usda_match"": ""Milk, whole, 3.25% milkfat, with added vitamin D"", ""score"": 0.459, ""portion_g"": 480.0}, {""item"": ""Cereal"", ""usda_match"": ""Milk and cereal bar"", ""score"": 0.26, ""portion_g"": 150.0}]"
36,2018-12-11,"Garri, milk, steak cut Garri, milk, steak cut",5,5,0,"[{""item"": ""Garri"", ""usda_match"": ""Cassava, raw"", ""score"": 0.348, ""portion_g"": 50}, {""item"": ""milk"", ""usda_match"": ""Milk, whole, 3.25% milkfat, with added vitamin D"", ""score"": 0.536, ""portion_g"": 240}, {""item"": ""steak cut Garri"", ""usda_match"": ""Cassava, raw"", ""score"": 0.287, ""portion_g"": 50}, {""item"": ""milk"", ""usda_match"": ""Milk, whole, 3.25% milkfat, with added vitamin D"", ""score"": 0.536, ""portion_g"": 240}, {""item"": ""steak cut"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.661, ""portion_g"": 240}]"
37,2018-12-12,"Steak cut, malt Steak cut, malt",3,3,0,"[{""item"": ""Steak cut"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.661, ""portion_g"": 240}, {""item"": ""malt Steak cut"", ""usda_match"": ""Malt beverage, includes non-alcoholic beer"", ""score"": 0.289, ""portion_g"": 330}, {""item"": ""malt"", ""usda_match"": ""Malt beverage, includes non-alcoholic beer"", ""score"": 0.397, ""portion_g"": 330}]"
38,2018-12-12,Slice of grapefruit Slice of grapefruit,1,1,0,"[{""item"": ""Slice of grapefruit Slice of grapefruit"", ""usda_match"": ""Grapefruit juice, white, raw"", ""score"": 0.214, ""portion_g"": 150.0}]"
39,2018-12-12,Crush Crush,1,1,0,"[{""item"": ""Crush Crush"", ""usda_match"": ""Carbonated beverage, cream soda"", ""score"": 0.451, ""portion_g"": 150.0}]"
106,2021-01-25,cookies + I cup of water cookies + I cup of water,3,3,0,"[{""item"": ""cookies"", ""usda_match"": ""Cookies, oatmeal, commercially prepared, regular"", ""score"": 0.857, ""portion_g"": 150.0}, {""item"": ""I cup of water cookies"", ""usda_match"": ""Cookies, oatmeal, commercially prepared, regular"", ""score"": 0.749, ""portion_g"": 240}, {""item"": ""I cup of water"", ""usda_match"": ""Beverages, coffee, brewed, prepared with tap water"", ""score"": 0.615, ""portion_g"": 240}]"
203,2021-03-17,"(semovita + eba ) + collard green eforiro (onions, pepper etc + rotisorrie chicken) + ogbonor soup(beef) (semovita + eba ) + collard green eforiro (onions, pepper etc + rotisorrie chicken) + ogbonor soup(beef)",10,10,0,"[{""item"": ""(semovita"", ""usda_match"": ""Semolina, enriched"", ""score"": 0.375, ""portion_g"": 250}, {""item"": ""eba )"", ""usda_match"": ""Cassava, raw"", ""score"": 0.419, ""portion_g"": 250}, {""item"": ""collard green eforiro (onions, pepper etc"", ""usda_match"": ""Collards, cooked, boiled, drained, with salt"", ""score"": 0.745, ""portion_g"": 200}, {""item"": ""rotisorrie chicken)"", ""usda_match"": ""Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"", ""score"": 0.389, ""portion_g"": 120}, {""item"": ""ogbonor soup(beef) (semovita"", ""usda_match"": ""Oil, palm"", ""score"": 0.334, ""portion_g"": 250}, {""item"": ""eba )"", ""usda_match"": ""Cassava, raw"", ""score"": 0.419, ""portion_g"": 250}, {""item"": ""collard green eforiro (onions, pepper etc"", ""usda_match"": ""Collards, cooked, boiled, drained, with salt"", ""score"": 0.745, ""portion_g"": 200}, {""item"": ""rotisorrie chicken)"", ""usda_match"": ""Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw"", ""score"": 0.389, ""portion_g"": 120}, {""item"": ""ogbonor soup"", ""usda_match"": ""Oil, palm"", ""score"": 0.338, ""portion_g"": 200}, {""item"": ""beef"", ""usda_match"": ""Beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled"", ""score"": 0.565, ""portion_g"": 120}]"
